id,player_id,pff_player_id,player_name,team_name,position,season,current_primary_grade
c1f56e54-ce07-4ad2-8cc5-2844fec25392,44056732-be34-451e-84c4-7515145fb798,-1883736287,Tonga Lolohea,Baylor,DL,2025,
6078e600-e7e3-41c0-bdcb-66bf59a9f550,5c9f0c7e-b005-4b8b-a511-1b6b6336341b,-91428049,Xavier Esquillen,Savannah St,DL,2025,
725f5d1b-8662-49bb-a6d8-8ad9e6997537,147ffeb9-80a8-4f01-bc9f-c2ba775360d1,-1384817976,Alessandro Perez,Texas A&M,EDGE,2025,
4faf1f1c-f12e-4e5f-9953-436b123ea9d3,2a4e1901-59c3-412c-9e47-d502f749f134,-24957934,Axel Ramazani,Wyoming,EDGE,2025,
67ef505c-a472-445c-85e1-1c198690bbcc,c395d06d-e8f4-459d-a0ec-bc1ffd7147d0,-965900253,David Ojiegbe,Norfolk State,EDGE,2025,
473e2ed2-9c9d-4d70-9eb6-c651909c5618,064441b1-e887-46df-b4e7-0764331f6a28,-497617172,Dylan Brooks,Kansas,EDGE,2025,
99598a0b-001f-4d34-aa47-8b75298dbcc4,b8b9231d-41a4-4cc4-b9c2-bdc097426ad6,-1415614997,Gideon Herbert,Arkansas State,EDGE,2025,
9888b00b-024b-475b-af68-c7d459e70c91,5a244536-222b-4c0b-b805-ce528cdea394,-1256885128,Iliyas Fuavai,,EDGE,2025,
6d2a157f-0a39-4c50-933a-693bf1f362b8,4b43e5a9-b7e0-4352-963f-29e8c1c3e960,-132949761,Jayshawn Ross,Kansas State,EDGE,2025,
fae297b8-8ebd-4971-98e0-1f5f59361837,3c267245-dece-4cf0-8651-5496759b127c,-1937320295,Jermy Jackson,Texas State,EDGE,2025,
3ed65a8b-274a-4961-9d87-fd85bac15d82,9f2546ec-582e-483c-b042-2d7304774cf6,-249731295,Jordan Buckley,Western Michigan,EDGE,2025,
262a82ce-4d43-484a-9ad8-db1cb9889c7e,17f9fe1b-8bdc-411a-8560-4218c882a6c8,-154493724,Josh Dorsainvil,UCF,EDGE,2025,
6c626b97-685c-4eeb-8366-59bf3d7ddb8b,aafc27d9-df8c-4d23-981b-fa290c950565,-1236660058,Keenan Eck,West Virginia,EDGE,2025,
2a63e948-ecc0-43e1-a5d6-7ba23db30e3d,cb35647f-ef22-4e5f-aec4-18ed5890a316,-326605864,Lawrence Falatea,Utah State,EDGE,2025,
47e917e9-23f9-49fb-8f71-c926fbbb1029,1abc4984-8019-4227-83e2-4b32f921787e,-155798052,Mali Hamrick,,EDGE,2025,
1ba776ce-9eff-4325-b79e-0eeeb674db4f,c8fa8593-0f48-4f61-8b76-b8b2871913a5,-1306056462,Whitefield Powell,,EDGE,2025,
2dae46b6-0a39-43da-89db-a6887d95d96f,93e683ad-e357-40d5-99e8-f8c20e56c6dc,-264746099,AJ Roberts,Stony Brook,LB,2025,
58a8d444-b15c-4b01-910d-6300034cdd76,e379ac3f-5525-4c1e-9895-bd788974b870,-1797297463,Benjamin Hudson,,LB,2025,
376772fa-4011-4684-acfe-eb9949b69980,7000940b-5f1d-416a-be61-f46ae2bd9277,-1959761577,BJ Mayes,Purdue,LB,2025,
118127c6-3a41-4247-a5af-d5ec70002b91,14009e35-ace4-4487-a0c3-d26ff25d8476,-1881874257,Carson Dean,Purdue,LB,2025,
9e5d9266-8b79-423e-b1c0-39490e92d96f,218b69d4-9937-4b82-98b8-64ab0543c4bb,-458613436,Carter Herriman,Eastern Michigan,LB,2025,
8d655306-988a-4173-b6b6-dc0208897fd1,1f3c163c-24c1-4f90-a7c5-fcc1bd7240dc,-1247016127,Chase Bogle,Arkansas State,LB,2025,
532d8f16-3b97-4e0d-a572-899b46075802,9aa3fc33-3858-438d-bd2c-847a3e60e615,-1880927697,Darius Thomas,Oklahoma State,LB,2025,
4c9a25b6-ecc1-472c-ad7c-c08b9a72ef4b,1d44da10-fc77-4415-ae62-ecefa17ce407,-983423722,DeeJay Holmes,Ole Miss,LB,2025,
79cd5253-9034-430e-bd40-f6df4274970e,68899adc-3d55-4ddf-9cb6-7d4520e2c9f7,-522327561,Devon Anderson,Central Connecticut,LB,2025,
fa417494-01a8-411c-bfe5-1358f8f1e767,db388cd8-e4d0-48f0-b20e-0f3ae7ee680b,-1096672461,Devyn Curtis,Arkansas State,LB,2025,
3f407d5f-9336-4a20-9831-a462c94ccc3b,df3c135e-69d1-4c4b-af3a-e8d446c94e01,-1851136606,Donelius Johnson,Kennesaw State,LB,2025,
ff1e0f7f-46df-4197-a553-d357b7dd79bb,733e7f55-1f19-4943-bea8-73fa89d41257,-578916002,Gavin Taylor,Central Connecticut,LB,2025,
509ec774-db13-4979-aa39-a4a8b8c64569,bb4563dd-14d8-458d-9559-434e70b0f10f,-1771429652,Issac Covington,,LB,2025,
a9c692b1-51fe-4488-a206-0fff625bcbf9,325d78eb-d4ca-4ff7-ad5d-3ef25df1267b,-1887561344,Jackson Hamilton,Georgia Tech,LB,2025,
f66b1a6f-8818-42eb-b36c-b9766199cfaf,2eca6696-cfe0-4212-a2c2-11f5ded8ef0e,-380338988,Jarrett Reeser,Boise State,LB,2025,
fd04589f-be81-48e8-8b91-82e3b0e5643d,fc508a7c-974d-471c-b765-1c0e21b9273e,-153374887,Jaylen Blackwell,Boston College,LB,2025,
7d9057ed-cbd9-4304-8076-c5ce70614e74,dbadff02-00d8-4e61-8125-56c2c71f8f02,-657770043,JJ Okate,Charlotte,LB,2025,
e6bf8939-104a-48cb-92ca-83964e779634,9fa22723-0788-43a8-aa9b-22ec5443f9f3,-51107973,Jordan Shuler,Air Force,LB,2025,
ba8b08f5-3df5-4b99-b823-569d9defd6d3,6682e114-d31d-41f7-959b-45b6b4e07e0f,-1953115147,JT Kouame-Yao,James Madison,LB,2025,
75a2a613-b9a7-499f-abd0-8c46e2b17466,5d69ef69-bca8-449a-9193-c0088abf7579,-699341012,Kaidon Whidby,Liberty,LB,2025,
d98586fd-bb4f-4624-9592-e3e7cbc1f39d,34dfb5ee-20da-4550-b158-f3879483ee05,-1558916926,Kam Weaver,Troy,LB,2025,
117671f9-1090-4e32-a3d0-657957dc2c57,af47cac6-fe05-47a9-8bdc-c5bbb6c5fb53,-722726726,Mihalis Santorineos,New Mexico,LB,2025,
31f229bd-c871-4876-9d46-9cc829152526,4f5fae55-bae5-4502-bdb3-6739b78bb221,-1750039144,Sampson Alofipo,,LB,2025,
